year,idx,day_key,split,image_path,mask_path,x0,y0,x1,y1,valid_ratio,storm_ratio_valid,storm_pixels,positive_patch
MY28,12,P01_day14,train,C:\Users\nicof\Desktop\proy_olga\Comparacion_de_metodos\MY28\selected_top100\images\P01_day14.png,C:\Users\nicof\Desktop\proy_olga\Comparacion_de_metodos\MY28\selected_top100\masks\P01_day14_mask_class.png,0,0,688,668,1.0,0.0,0,False
MY28,12,P01_day14,train,C:\Users\nicof\Desktop\proy_olga\Comparacion_de_metodos\MY28\selected_top100\images\P01_day14.png,C:\Users\nicof\Desktop\proy_olga\Comparacion_de_metodos\MY28\selected_top100\masks\P01_day14_mask_class.png,334,0,1022,668,1.0,0.0,0,False
MY28,12,P01_day14,train,C:\Users\nicof\Desktop\proy_olga\Comparacion_de_metodos\MY28\selected_top100\images\P01_day14.png,C:\Users\nicof\Desktop\proy_olga\Comparacion_de_metodos\MY28\selected_top100\masks\P01_day14_mask_class.png,668,0,1356,668,1.0,0.0,0,False
MY28,12,P01_day14,train,C:\Users\nicof\Desktop\proy_olga\Comparacion_de_metodos\MY28\selected_top100\images\P01_day14.png,C:\Users\nicof\Desktop\proy_olga\Comparacion_de_metodos\MY28\selected_top100\masks\P01_day14_mask_class.png,1002,0,1690,668,1.0,0.0,0,False
MY28,12,P01_day14,train,C:\Users\nicof\Desktop\proy_olga\Comparacion_de_metodos\MY28\selected_top100\images\P01_day14.png,C:\Users\nicof\Desktop\proy_olga\Comparacion_de_metodos\MY28\selected_top100\masks\P01_day14_mask_class.png,1336,0,2024,668,1.0,0.0,0,False
MY28,12,P01_day14,train,C:\Users\nicof\Desktop\proy_olga\Comparacion_de_metodos\MY28\selected_top100\images\P01_day14.png,C:\Users\nicof\Desktop\proy_olga\Comparacion_de_metodos\MY28\selected_top100\masks\P01_day14_mask_class.png,1670,0,2358,668,1.0,0.0,0,False
MY28,12,P01_day14,train,C:\Users\nicof\Desktop\proy_olga\Comparacion_de_metodos\MY28\selected_top100\images\P01_day14.png,C:\Users\nicof\Desktop\proy_olga\Comparacion_de_metodos\MY28\selected_top100\masks\P01_day14_mask_class.png,2004,0,2692,668,1.0,0.0,0,False
MY28,12,P01_day14,train,C:\Users\nicof\Desktop\proy_olga\Comparacion_de_metodos\MY28\selected_top100\images\P01_day14.png,C:\Users\nicof\Desktop\proy_olga\Comparacion_de_metodos\MY28\selected_top100\masks\P01_day14_mask_class.png,2338,0,3026,668,1.0,0.0,0,False
MY28,12,P01_day14,train,C:\Users\nicof\Desktop\proy_olga\Comparacion_de_metodos\MY28\selected_top100\images\P01_day14.png,C:\Users\nicof\Desktop\proy_olga\Comparacion_de_metodos\MY28\selected_top100\masks\P01_day14_mask_class.png,2672,0,3360,668,0.9999303718145104,0.0,0,False
MY28,12,P01_day14,train,C:\Users\nicof\Desktop\proy_olga\Comparacion_de_metodos\MY28\selected_top100\images\P01_day14.png,C:\Users\nicof\Desktop\proy_olga\Comparacion_de_metodos\MY28\selected_top100\masks\P01_day14_mask_class.png,0,334,688,1002,1.0,0.0,0,False
MY28,12,P01_day14,train,C:\Users\nicof\Desktop\proy_olga\Comparacion_de_metodos\MY28\selected_top100\images\P01_day14.png,C:\Users\nicof\Desktop\proy_olga\Comparacion_de_metodos\MY28\selected_top100\masks\P01_day14_mask_class.png,334,334,1022,1002,1.0,0.0,0,False
MY28,12,P01_day14,train,C:\Users\nicof\Desktop\proy_olga\Comparacion_de_metodos\MY28\selected_top100\images\P01_day14.png,C:\Users\nicof\Desktop\proy_olga\Comparacion_de_metodos\MY28\selected_top100\masks\P01_day14_mask_class.png,668,334,1356,1002,1.0,0.0,0,False
MY28,12,P01_day14,train,C:\Users\nicof\Desktop\proy_olga\Comparacion_de_metodos\MY28\selected_top100\images\P01_day14.png,C:\Users\nicof\Desktop\proy_olga\Comparacion_de_metodos\MY28\selected_top100\masks\P01_day14_mask_class.png,1002,334,1690,1002,1.0,0.0,0,False
MY28,12,P01_day14,train,C:\Users\nicof\Desktop\proy_olga\Comparacion_de_metodos\MY28\selected_top100\images\P01_day14.png,C:\Users\nicof\Desktop\proy_olga\Comparacion_de_metodos\MY28\selected_top100\masks\P01_day14_mask_class.png,1336,334,2024,1002,1.0,0.0,0,False
